year,pct,sex,race,stopped,arrested,frisked,searched,summoned,contrabn,weapnfnd,pf_weapn,pf_hcuff,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furtv,rf_bulge
2003,26,F,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,26,F,B,43,4,16,8,1,2,1,2,2,0,8,4,1,1,6,10,1,1,8,3,0,2,3,0,1,4,1
2003,26,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,26,F,P,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
2003,26,F,Q,8,1,2,2,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
2003,26,F,W,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2003,26,M,A,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,26,M,B,670,82,398,85,43,24,12,13,49,5,222,101,22,5,59,194,53,47,105,118,28,58,54,3,6,194,50
2003,26,M,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,26,M,P,91,6,56,11,2,4,0,11,8,0,33,21,1,0,3,33,11,6,22,9,2,7,8,0,3,26,9
2003,26,M,Q,172,15,103,18,5,3,6,9,12,0,41,24,16,3,16,52,15,16,23,17,8,14,17,0,2,57,10
2003,26,M,W,31,1,15,5,2,0,0,1,4,1,6,5,0,0,4,6,0,2,3,8,0,1,4,0,0,2,4
2003,28,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,28,F,B,119,9,36,8,4,1,1,3,2,0,15,7,5,2,30,27,3,9,3,14,3,4,5,0,2,24,10
2003,28,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,28,F,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2003,28,F,Q,9,1,4,1,0,1,0,1,0,0,2,1,1,1,2,2,1,0,1,3,1,1,1,0,0,2,0
